distance,surge_multiplier,hour,day_of_week,is_weekend,is_rush_hour,is_late_night,is_premium_tier,is_shared,is_uber,sin_hour,cos_hour,sin_day,cos_day,price
4.51,1.0,6,5,1,0,0,0,1,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,7.0
2.8,1.0,0,0,0,0,1,0,0,1,0.0,1.0,0.0,1.0,10.5
1.09,1.0,12,0,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,7.0
0.92,1.0,3,1,0,0,1,1,0,1,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,15.5
1.12,1.0,9,3,0,1,0,1,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,16.5
5.56,1.0,10,5,1,0,0,0,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,15.0
3.4,1.0,17,5,1,1,0,0,0,0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,19.5
0.73,1.0,6,4,0,0,0,1,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,11.0
2.45,1.0,12,1,0,0,0,0,0,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,11.0
2.8,1.0,23,3,0,0,1,1,0,1,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,28.5
2.82,1.0,9,3,0,1,0,0,0,1,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,9.5
5.7,1.0,9,0,0,1,0,0,0,1,0.7071067811865476,-0.7071067811865475,0.0,1.0,16.0
1.16,1.0,0,4,0,0,1,0,1,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,6.5
1.57,1.0,19,1,0,1,0,0,0,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,7.5
2.69,1.0,10,4,0,0,0,0,1,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,7.0
2.27,1.0,4,3,0,0,1,0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,9.5
3.44,1.0,4,3,0,0,1,1,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,26.0
4.72,1.0,3,3,0,0,1,0,1,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,16.5
2.37,1.0,11,1,0,0,0,1,0,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,27.5
3.22,1.0,2,1,0,0,1,1,0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,39.5
2.4,1.0,10,1,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,16.5
1.79,1.0,23,2,0,0,1,0,0,1,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,8.5
3.8,1.0,13,3,0,0,0,0,0,1,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,11.5
2.39,1.0,3,4,0,0,1,1,0,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,30.0
2.33,1.0,2,6,1,0,1,0,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,9.5
1.24,1.0,22,0,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,11.0
1.48,1.0,16,5,1,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,3.5
